PATH TRANSVERSAL
Tool;Recall;Recall*Informedness;F-measure;Markedness;Precision;TP;TP;TP;TP;FN;FN;FN;FN;FP;FP;FP;FP;TN;TN;TN;TN;
('Semgrep', 'SpotBugs');0;0;0;0;0;6;6;6;6;11;11;11;11;11;11;11;11;19;19;19;19;
('Synopsis', 'Horusec');0;0;0;0;0;1;1;1;1;16;16;16;16;0;0;0;0;30;30;30;30;
('Synopsis', 'Kiuwan');0;0;0;0;0;2;2;2;1;15;15;15;16;1;1;1;0;29;29;29;30;
('Synopsis', 'SpotBugs');0;0;0;0;0;1;1;1;1;16;16;16;16;0;0;0;0;30;30;30;30;
('Horusec', 'Kiuwan');0;0;0;0;0;2;2;2;2;15;15;15;15;1;1;1;1;29;29;29;29;
('Horusec', 'SpotBugs');0;0;0;0;0;1;1;1;1;16;16;16;16;3;3;3;3;27;27;27;27;
('Kiuwan', 'SpotBugs');0;0;0;0;0;2;2;2;2;15;15;15;15;1;1;1;1;29;29;29;29;


HARDCODED CREDENTIALS
Tool;Recall;Recall*Informedness;F-measure;Markedness;Precision;TP;TP;TP;TP;FN;FN;FN;FN;FP;FP;FP;FP;TN;TN;TN;TN;
('Snyk', 'Fortify');0;0;0;0;0;24;24;24;24;9;9;9;9;1;1;1;1;6;6;6;6;
('Snyk', 'Semgrep');0;0;0;0;0;24;24;24;24;9;9;9;9;1;1;1;1;6;6;6;6;
('Snyk', 'Synopsis');0;0;0;0;0;0;0;0;0;33;33;33;33;0;0;0;0;7;7;7;7;
('Snyk', 'Horusec');0;0;0;0;0;24;24;24;24;9;9;9;9;1;1;1;1;6;6;6;6;
('Snyk', 'Kiuwan');0;0;0;0;0;24;24;24;24;9;9;9;9;1;1;1;1;6;6;6;6;
('Snyk', 'SpotBugs');0;0;0;0;0;24;24;24;2;9;9;9;31;1;1;1;0;6;6;6;7;
('Fortify', 'Semgrep');0;0;0;0;0;0;0;0;0;33;33;33;33;0;0;0;0;7;7;7;7;
('Fortify', 'Synopsis');0;0;0;0;0;0;0;0;0;33;33;33;33;0;0;0;0;7;7;7;7;
('Fortify', 'Horusec');0;0;0;0;0;7;7;7;7;26;26;26;26;0;0;0;0;7;7;7;7;
('Fortify', 'Kiuwan');0;0;0;0;0;10;10;10;10;23;23;23;23;1;1;1;1;6;6;6;6;
('Fortify', 'SpotBugs');0;0;0;0;0;2;2;2;2;31;31;31;31;0;0;0;0;7;7;7;7;
('Semgrep', 'Synopsis');0;0;0;0;0;0;0;0;0;33;33;33;33;0;0;0;0;7;7;7;7;
('Semgrep', 'Horusec');0;0;0;0;0;0;0;0;0;33;33;33;33;0;0;0;0;7;7;7;7;
('Semgrep', 'Kiuwan');0;0;0;0;0;10;10;10;0;23;23;23;33;1;1;1;0;6;6;6;7;
('Semgrep', 'SpotBugs');0;0;0;0;0;2;2;2;2;31;31;31;31;0;0;0;0;7;7;7;7;
('Synopsis', 'Horusec');0;0;0;0;0;0;0;0;0;33;33;33;33;0;0;0;0;7;7;7;7;
('Synopsis', 'Kiuwan');0;0;0;0;0;0;0;0;0;33;33;33;33;0;0;0;0;7;7;7;7;
('Synopsis', 'SpotBugs');0;0;0;0;0;0;0;0;2;33;33;33;31;0;0;0;0;7;7;7;7;
('Horusec', 'Kiuwan');0;0;0;0;0;10;10;10;10;23;23;23;23;1;1;1;1;6;6;6;6;
('Horusec', 'SpotBugs');0;0;0;0;0;2;2;2;2;31;31;31;31;0;0;0;0;7;7;7;7;
('Kiuwan', 'SpotBugs');0;0;0;0;0;10;10;2;2;23;23;31;31;1;1;0;0;6;6;7;7;


SQL INJECTION
Tool;Recall;Recall*Informedness;F-measure;Markedness;Precision;TP;TP;TP;TP;FN;FN;FN;FN;FP;FP;FP;FP;TN;TN;TN;TN;
('Snyk', 'Fortify');0;0;0;0;0;17;17;23;23;66;66;60;60;38;38;17;17;301;301;322;322;
('Snyk', 'Semgrep');0;0;0;0;0;22;22;23;23;61;61;60;60;52;52;17;17;287;287;322;322;
('Snyk', 'Synopsis');0;0;0;0;0;23;23;23;23;60;60;60;60;17;17;17;17;322;322;322;322;
('Snyk', 'Horusec');0;0;0;0;0;3;23;23;23;80;60;60;60;166;17;17;17;173;322;322;322;
('Snyk', 'Kiuwan');0;0;0;0;0;12;12;23;23;71;71;60;60;0;0;17;17;339;339;322;322;
('Snyk', 'SpotBugs');0;0;0;0;0;15;15;23;23;68;68;60;60;11;11;17;17;328;328;322;322;
('Fortify', 'Semgrep');0;0;0;0;0;22;22;17;17;61;61;66;66;52;52;38;38;287;287;301;301;
('Fortify', 'Synopsis');0;0;0;0;0;17;17;13;13;66;66;70;70;38;38;0;0;301;301;339;339;
('Fortify', 'Horusec');0;0;0;0;0;17;17;17;17;66;66;66;66;38;38;38;38;301;301;301;301;
('Fortify', 'Kiuwan');0;0;0;0;0;12;12;17;17;71;71;66;66;0;0;38;38;339;339;301;301;
('Fortify', 'SpotBugs');0;0;0;0;0;15;15;17;17;68;68;66;66;11;11;38;38;328;328;301;301;
('Semgrep', 'Synopsis');0;0;0;0;0;22;22;13;13;61;61;70;70;52;52;0;0;287;287;339;339;
('Semgrep', 'Horusec');0;0;0;0;0;22;22;22;22;61;61;61;61;52;52;52;52;287;287;287;287;
('Semgrep', 'Kiuwan');0;0;0;0;0;12;12;12;12;71;71;71;71;0;0;0;0;339;339;339;339;
('Semgrep', 'SpotBugs');0;0;0;0;0;15;15;22;22;68;68;61;61;11;11;52;52;328;328;287;287;
('Synopsis', 'Horusec');0;0;0;0;0;3;13;13;13;80;70;70;70;166;0;0;0;173;339;339;339;
('Synopsis', 'Kiuwan');0;0;0;0;0;12;12;13;13;71;71;70;70;0;0;0;0;339;339;339;339;
('Synopsis', 'SpotBugs');0;0;0;0;0;15;15;13;13;68;68;70;70;11;11;0;0;328;328;339;339;
('Horusec', 'Kiuwan');0;0;0;0;0;12;12;12;12;71;71;71;71;0;0;0;0;339;339;339;339;
('Horusec', 'SpotBugs');0;0;0;0;0;15;15;15;15;68;68;68;68;11;11;11;11;328;328;328;328;
('Kiuwan', 'SpotBugs');0;0;0;0;0;15;12;12;12;68;71;71;71;11;0;0;0;328;339;339;339;


WEAK HASH
Tool;Recall;Recall*Informedness;F-measure;Markedness;Precision;TP;TP;TP;TP;FN;FN;FN;FN;FP;FP;FP;FP;TN;TN;TN;TN;
('Snyk', 'Fortify');0;0;0;0;0;42;45;45;42;154;151;151;154;2;0;0;2;28;30;30;28;
('Snyk', 'Semgrep');0;0;0;0;0;45;45;45;4;151;151;151;192;0;0;0;0;30;30;30;30;
('Snyk', 'Synopsis');0;0;0;0;0;35;45;45;35;161;151;151;161;2;0;0;2;28;30;30;28;
('Snyk', 'Horusec');0;0;0;0;0;137;137;137;45;59;59;59;151;13;13;13;0;17;17;17;30;
('Snyk', 'Kiuwan');0;0;0;0;0;40;45;45;40;156;151;151;156;2;0;0;2;28;30;30;28;
('Snyk', 'SpotBugs');0;0;0;0;0;45;45;45;1;151;151;151;195;0;0;0;0;30;30;30;30;
('Fortify', 'Semgrep');0;0;0;0;0;42;42;42;4;154;154;154;192;2;2;2;0;28;28;28;30;
('Fortify', 'Synopsis');0;0;0;0;0;42;42;42;42;154;154;154;154;2;2;2;2;28;28;28;28;
('Fortify', 'Horusec');0;0;0;0;0;137;137;137;42;59;59;59;154;13;13;13;2;17;17;17;28;
('Fortify', 'Kiuwan');0;0;0;0;0;42;42;42;42;154;154;154;154;2;2;2;2;28;28;28;28;
('Fortify', 'SpotBugs');0;0;0;0;0;42;42;42;1;154;154;154;195;2;2;2;0;28;28;28;30;
('Semgrep', 'Synopsis');0;0;0;0;0;35;35;35;4;161;161;161;192;2;2;2;0;28;28;28;30;
('Semgrep', 'Horusec');0;0;0;0;0;137;137;137;4;59;59;59;192;13;13;13;0;17;17;17;30;
('Semgrep', 'Kiuwan');0;0;0;0;0;40;40;40;4;156;156;156;192;2;2;2;0;28;28;28;30;
('Semgrep', 'SpotBugs');0;0;0;0;0;1;1;1;1;195;195;195;195;0;0;0;0;30;30;30;30;
('Synopsis', 'Horusec');0;0;0;0;0;137;137;137;35;59;59;59;161;13;13;13;2;17;17;17;28;
('Synopsis', 'Kiuwan');0;0;0;0;0;40;40;40;40;156;156;156;156;2;2;2;2;28;28;28;28;
('Synopsis', 'SpotBugs');0;0;0;0;0;35;35;35;1;161;161;161;195;2;2;2;0;28;28;28;30;
('Horusec', 'Kiuwan');0;0;0;0;0;137;137;137;40;59;59;59;156;13;13;13;2;17;17;17;28;
('Horusec', 'SpotBugs');0;0;0;0;0;137;137;137;1;59;59;59;195;13;13;13;0;17;17;17;30;
('Kiuwan', 'SpotBugs');0;0;0;0;0;40;40;40;1;156;156;156;195;2;2;2;0;28;28;28;30;


HTTP SPLITTING
Tool;Recall;Recall*Informedness;F-measure;Markedness;Precision;TP;TP;TP;TP;FN;FN;FN;FN;FP;FP;FP;FP;TN;TN;TN;TN;
('Snyk', 'Fortify');0;0;0;0;0;4;4;4;4;2;2;2;2;6;6;6;6;20;20;20;20;
('Snyk', 'Semgrep');0;0;0;0;0;4;4;4;4;2;2;2;2;6;6;6;6;20;20;20;20;
('Snyk', 'Synopsis');0;0;0;0;0;4;4;4;4;2;2;2;2;6;6;6;6;20;20;20;20;
('Snyk', 'Horusec');0;0;0;0;0;4;4;4;4;2;2;2;2;6;6;6;6;20;20;20;20;
('Snyk', 'Kiuwan');0;0;0;0;0;4;4;4;4;2;2;2;2;6;6;6;6;20;20;20;20;
('Snyk', 'SpotBugs');0;0;0;0;0;3;3;4;4;3;3;2;2;0;0;6;6;26;26;20;20;
('Fortify', 'Semgrep');0;0;0;0;0;2;2;2;2;4;4;4;4;8;8;8;8;18;18;18;18;
('Fortify', 'Synopsis');0;0;0;0;0;2;2;2;2;4;4;4;4;8;8;8;8;18;18;18;18;
('Fortify', 'Horusec');0;0;0;0;0;2;2;2;2;4;4;4;4;8;8;8;8;18;18;18;18;
('Fortify', 'Kiuwan');0;0;0;0;0;3;3;3;3;3;3;3;3;10;10;10;10;16;16;16;16;
('Fortify', 'SpotBugs');0;0;0;0;0;3;3;3;3;3;3;3;3;0;0;0;0;26;26;26;26;
('Semgrep', 'Synopsis');0;0;0;0;0;0;0;0;0;6;6;6;6;0;0;0;0;26;26;26;26;
('Semgrep', 'Horusec');0;0;0;0;0;0;0;0;0;6;6;6;6;0;0;0;0;26;26;26;26;
('Semgrep', 'Kiuwan');0;0;0;0;0;3;3;3;3;3;3;3;3;10;10;10;10;16;16;16;16;
('Semgrep', 'SpotBugs');0;0;0;0;0;3;3;3;3;3;3;3;3;0;0;0;0;26;26;26;26;
('Synopsis', 'Horusec');0;0;0;0;0;0;0;0;0;6;6;6;6;0;0;0;0;26;26;26;26;
('Synopsis', 'Kiuwan');0;0;0;0;0;3;3;3;3;3;3;3;3;10;10;10;10;16;16;16;16;
('Synopsis', 'SpotBugs');0;0;0;0;0;3;3;3;3;3;3;3;3;0;0;0;0;26;26;26;26;
('Horusec', 'Kiuwan');0;0;0;0;0;3;3;3;3;3;3;3;3;10;10;10;10;16;16;16;16;
('Horusec', 'SpotBugs');0;0;0;0;0;3;3;3;3;3;3;3;3;0;0;0;0;26;26;26;26;
('Kiuwan', 'SpotBugs');0;0;0;0;0;3;3;3;3;3;3;3;3;0;0;10;10;26;26;16;16;


HARDCODED CONSTANTS
Tool;Recall;Recall*Informedness;F-measure;Markedness;Precision;TP;TP;TP;TP;FN;FN;FN;FN;FP;FP;FP;FP;TN;TN;TN;TN;
('Snyk', 'Fortify');0;0;0;0;0;23;23;23;23;2;2;2;2;0;0;0;0;3;3;3;3;
('Snyk', 'Semgrep');0;0;0;0;0;23;23;23;23;2;2;2;2;0;0;0;0;3;3;3;3;
('Snyk', 'Synopsis');0;0;0;0;0;23;23;23;23;2;2;2;2;0;0;0;0;3;3;3;3;
('Snyk', 'Horusec');0;0;0;0;0;23;23;23;23;2;2;2;2;0;0;0;0;3;3;3;3;
('Snyk', 'Kiuwan');0;0;0;0;0;23;23;23;23;2;2;2;2;0;0;0;0;3;3;3;3;
('Snyk', 'SpotBugs');0;0;0;0;0;23;23;23;23;2;2;2;2;0;0;0;0;3;3;3;3;
('Fortify', 'Semgrep');0;0;0;0;0;4;4;4;4;21;21;21;21;0;0;0;0;3;3;3;3;
('Fortify', 'Synopsis');0;0;0;0;0;5;5;5;4;20;20;20;21;0;0;0;0;3;3;3;3;
('Fortify', 'Horusec');0;0;0;0;0;4;5;5;4;21;20;20;21;0;0;0;0;3;3;3;3;
('Fortify', 'Kiuwan');0;0;0;0;0;5;5;5;5;20;20;20;20;0;0;0;0;3;3;3;3;
('Fortify', 'SpotBugs');0;0;0;0;0;1;1;1;1;24;24;24;24;0;0;0;0;3;3;3;3;
('Semgrep', 'Synopsis');0;0;0;0;0;5;5;5;5;20;20;20;20;0;0;0;0;3;3;3;3;
('Semgrep', 'Horusec');0;0;0;0;0;5;5;5;5;20;20;20;20;0;0;0;0;3;3;3;3;
('Semgrep', 'Kiuwan');0;0;0;0;0;5;5;5;5;20;20;20;20;0;0;0;0;3;3;3;3;
('Semgrep', 'SpotBugs');0;0;0;0;0;1;1;1;1;24;24;24;24;0;0;0;0;3;3;3;3;
('Synopsis', 'Horusec');0;0;0;0;0;5;5;5;5;20;20;20;20;0;0;0;0;3;3;3;3;
('Synopsis', 'Kiuwan');0;0;0;0;0;5;5;5;5;20;20;20;20;0;0;0;0;3;3;3;3;
('Synopsis', 'SpotBugs');0;0;0;0;0;5;5;5;1;20;20;20;24;0;0;0;0;3;3;3;3;
('Horusec', 'Kiuwan');0;0;0;0;0;5;5;5;5;20;20;20;20;0;0;0;0;3;3;3;3;
('Horusec', 'SpotBugs');0;0;0;0;0;1;1;1;1;24;24;24;24;0;0;0;0;3;3;3;3;
('Kiuwan', 'SpotBugs');0;0;0;0;0;5;5;5;5;20;20;20;20;0;0;0;0;3;3;3;3;


BYPASS AUTHORIZATION
Tool;Recall;Recall*Informedness;F-measure;Markedness;Precision;TP;TP;TP;TP;FN;FN;FN;FN;FP;FP;FP;FP;TN;TN;TN;TN;
('Snyk', 'Fortify');0;0;0;0;0;0;0;0;0;16;16;16;16;3;3;3;3;27;27;27;27;
('Snyk', 'Semgrep');0;0;0;0;0;0;0;0;0;16;16;16;16;3;3;3;3;27;27;27;27;
('Snyk', 'Synopsis');0;0;0;0;0;0;0;0;0;16;16;16;16;3;3;3;0;27;27;27;30;
('Snyk', 'Horusec');0;0;0;0;0;0;0;0;0;16;16;16;16;3;3;3;3;27;27;27;27;
('Snyk', 'Kiuwan');0;0;0;0;0;0;0;0;0;16;16;16;16;3;3;3;3;27;27;27;27;
('Snyk', 'SpotBugs');0;0;0;0;0;0;0;0;0;16;16;16;16;2;2;3;3;28;28;27;27;
('Fortify', 'Semgrep');0;0;0;0;0;0;0;0;1;16;16;16;15;0;0;0;1;30;30;30;29;
('Fortify', 'Synopsis');0;0;0;0;0;0;0;0;0;16;16;16;16;0;0;0;0;30;30;30;30;
('Fortify', 'Horusec');0;0;0;0;0;0;0;0;0;16;16;16;16;0;0;0;0;30;30;30;30;
('Fortify', 'Kiuwan');0;0;0;0;0;0;0;0;0;16;16;16;16;4;4;4;4;26;26;26;26;
('Fortify', 'SpotBugs');0;0;0;0;0;0;0;0;0;16;16;16;16;2;2;2;2;28;28;28;28;
